,title,Year,genre,homepage,popularity
50,Prince of Persia: The Sands of Time,2010,"Adventure,Fantasy,Action,Romance",http://disney.go.com/disneypictures/princeofpersia,62.169881
51,Pacific Rim,2013,"Action,Sci-Fi,Adventure",http://www.pacificrimmovie.com/,56.523205
52,Transformers: Dark of the Moon,2011,"Action,Sci-Fi,Adventure",http://www.transformersmovie.com/,28.529607
53,Indiana Jones and the Kingdom of the Crystal Skull,2008,"Adventure,Action",http://www.indianajones.com/site/index.html,75.674458
54,The Good Dinosaur,2015,"Adventure,Animation,Family",http://movies.disney.com/the-good-dinosaur,51.692953
55,Brave,2012,"Animation,Adventure,Comedy,Family,Action,Fantasy",http://disney.go.com/brave/#/home,125.114374
56,Star Trek Beyond,2016,"Action,Adventure,Sci-Fi",http://www.startrekmovie.com/,65.352913
57,WALLÃ‚Â·E,2008,"Animation,Family",http://disney.go.com/disneypictures/wall-e/,66.390712
58,Rush Hour 3,2007,"Action,Comedy,Crime,Thriller",,22.57178
59,2012,2009,"Action,Adventure,Sci-Fi",http://www.sonypictures.com/movies/2012,45.274225
60,A Christmas Carol,2009,"Animation,Drama",http://disney.go.com/disneypictures/achristmascarol/?cmp=dcom_VAN_WDSHE_ACC_van_dcomcc__Extl,39.744242
61,Jupiter Ascending,2015,"Sci-Fi,Fantasy,Action,Adventure",http://www.jupiterascending.com,85.36908
62,The Legend of Tarzan,2016,"Action,Adventure",http://legendoftarzan.com,42.741719
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"Adventure,Family,Fantasy",,67.391328
64,X-Men: Apocalypse,2016,Sci-Fi,http://www.foxmovies.com/movies/x-men-apocalypse,139.272042
65,The Dark Knight,2008,"Drama,Action,Crime,Thriller",http://thedarkknight.warnerbros.com/dvdsite/,187.322927
66,Up,2009,"Animation,Comedy,Family,Adventure",http://disney.go.com/disneypictures/up/,92.201962
67,Monsters vs Aliens,2009,"Animation,Family,Adventure,Sci-Fi",http://www.monstersvsaliens.com/,36.167578
68,Iron Man,2008,"Action,Sci-Fi,Adventure",http://www.ironmanmovie.com/,120.725053
69,Hugo,2011,"Adventure,Drama,Family",http://www.hugomovie.com/,32.319043
70,Wild Wild West,1999,"Action,Adventure,Comedy,Sci-Fi,Western",,40.748915
71,The Mummy: Tomb of the Dragon Emperor,2008,"Adventure,Action,Fantasy",http://www.themummy.com/,60.034162
72,Suicide Squad,2016,"Action,Adventure,Crime,Fantasy,Sci-Fi",http://www.suicidesquad.com/,90.23792
73,Evan Almighty,2007,"Fantasy,Comedy,Family",http://www.evanalmighty.com/,27.082182
74,Edge of Tomorrow,2014,"Action,Sci-Fi",http://www.edgeoftomorrowmovie.com/,79.456485
75,Waterworld,1995,"Adventure,Action",,44.640292
76,G.I. Joe: The Rise of Cobra,2009,"Adventure,Action,Thriller,Sci-Fi",http://www.gijoemovie.com/,32.852443
77,Inside Out,2015,"Drama,Comedy,Animation,Family",http://movies.disney.com/inside-out,128.655964
78,The Jungle Book,2016,"Family,Adventure,Drama,Fantasy",http://movies.disney.com/the-jungle-book-2016,94.199316
79,Iron Man 2,2010,"Adventure,Action,Sci-Fi",http://www.ironmanmovie.com/,77.300194
80,Snow White and the Huntsman,2012,"Adventure,Fantasy,Drama",http://www.snowwhiteandthehuntsman.com/,77.178973
81,Maleficent,2014,"Fantasy,Adventure,Action,Family,Romance",http://movies.disney.com/maleficent,110.620647
82,Dawn of the Planet of the Apes,2014,"Sci-Fi,Action,Drama,Thriller",http://www.dawnofapes.com/,243.791743
83,The Lovers,2015,"Action,Adventure,Sci-Fi,Romance",,2.418535
84,47 Ronin,2013,"Drama,Action,Adventure,Fantasy",,41.796339
85,Captain America: The Winter Soldier,2014,"Action,Adventure,Sci-Fi",http://www.captainamericathewintersoldiermovie.com,72.225265
86,Shrek Forever After,2010,"Comedy,Adventure,Fantasy,Animation,Family",http://www.shrekforeverafter.com/,44.041186
87,Tomorrowland,2015,"Adventure,Family,Mystery,Sci-Fi",http://movies.disney.com/tomorrowland,130.311355
88,Big Hero 6,2014,"Adventure,Family,Animation,Action,Comedy",http://movies.disney.com/big-hero-6,203.73459
89,Wreck-It Ralph,2012,"Family,Animation,Comedy,Adventure",http://disney.go.com/wreck-it-ralph,62.341073
90,The Polar Express,2004,"Adventure,Animation,Family,Fantasy",,47.323228
91,Independence Day: Resurgence,2016,"Action,Adventure,Sci-Fi",http://www.warof1996.com,48.775723
92,How to Train Your Dragon,2010,"Fantasy,Adventure,Animation,Family",http://www.howtotrainyourdragon.com/,67.263269
93,Terminator 3: Rise of the Machines,2003,"Action,Thriller,Sci-Fi",,69.405188
94,Guardians of the Galaxy,2014,"Action,Sci-Fi,Adventure",http://marvel.com/guardians,481.098624
95,Interstellar,2014,"Adventure,Drama,Sci-Fi",http://www.interstellarmovie.net/,724.247784
96,Inception,2010,"Action,Thriller,Sci-Fi,Mystery,Adventure",http://inceptionmovie.warnerbros.com/,167.58371
97,Shin Godzilla,2016,"Action,Adventure,Drama,Horror,Sci-Fi",,9.476999
98,The Hobbit: An Unexpected Journey,2012,"Adventure,Fantasy,Action",http://www.thehobbit.com/,108.849621
99,The Fast and the Furious,2001,"Action,Crime,Thriller",,6.909942
100,The Curious Case of Benjamin Button,2008,"Fantasy,Drama,Thriller,Mystery,Romance",http://www.benjaminbutton.com/,60.269279
101,X-Men: First Class,2011,"Action,Sci-Fi,Adventure",http://www.x-menfirstclassmovie.com/,3.195174
102,The Hunger Games: Mockingjay - Part 2,2015,"Action,Adventure,Sci-Fi",http://www.thehungergames.movie/,127.284427
103,The Sorcerer's Apprentice,2010,"Fantasy,Adventure,Action,Comedy,Drama",http://disney.go.com/disneypictures/sorcerersapprentice/,35.580815
104,Poseidon,2006,"Adventure,Action,Drama,Thriller",http://www2.warnerbros.com/poseidon/,21.133748
105,Alice Through the Looking Glass,2016,Fantasy,http://movies.disney.com/alice-through-the-looking-glass,56.268916
106,Shrek the Third,2007,"Fantasy,Adventure,Animation,Comedy,Family",http://www.shrekthethird.com/flash/index.html,42.986467
107,Warcraft,2016,"Action,Adventure,Fantasy",http://www.warcraft-themovie.com/,63.148529
108,Terminator Genisys,2015,"Sci-Fi,Action,Thriller,Adventure",http://www.terminatormovie.com/,202.042635
109,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,"Adventure,Family,Fantasy",,49.661984
110,Pearl Harbor,2001,"History,Romance,War",,34.20669
111,Transformers,2007,"Adventure,Sci-Fi,Action",http://www.transformersmovie.com/,25.468493
112,Alexander,2004,"War,History,Action,Adventure,Drama,Romance",,39.019229
113,Harry Potter and the Order of the Phoenix,2007,"Adventure,Fantasy,Family,Mystery",http://www.harrypotterorderofthephoenix.com/,78.144395
114,Harry Potter and the Goblet of Fire,2005,"Adventure,Fantasy,Family",http://harrypotter.warnerbros.com/,101.250416
115,Hancock,2008,"Fantasy,Action",http://www.sonypictures.com/movies/hancock/,56.758411
116,I Am Legend,2007,"Drama,Horror,Action,Thriller,Sci-Fi",http://iamlegend.warnerbros.com/,70.867401
117,Charlie and the Chocolate Factory,2005,"Adventure,Comedy,Family,Fantasy",https://www.warnerbros.com/charlie-and-chocolate-factory,53.905592
118,Ratatouille,2007,"Animation,Comedy,Family,Fantasy",http://disney.go.com/disneypictures/ratatouille/,65.677399
119,Batman Begins,2005,"Action,Crime,Drama",http://www2.warnerbros.com/batmanbegins/index.html,115.040024
120,Madagascar: Escape 2 Africa,2008,"Family,Animation",http://www.madagascar-themovie.com,44.141021
121,Night at the Museum: Battle of the Smithsonian,2009,"Adventure,Fantasy,Action,Comedy,Family",http://www.nightatthemuseummovie.com,81.781591
122,X-Men Origins: Wolverine,2009,"Adventure,Action,Thriller,Sci-Fi",http://www.x-menorigins.com/,5.954334
123,The Matrix Revolutions,2003,"Adventure,Action,Thriller,Sci-Fi",,73.313918
124,Frozen,2013,"Animation,Adventure,Family",http://movies.disney.com/frozen,165.125366
125,The Matrix Reloaded,2003,"Adventure,Action,Thriller,Sci-Fi",,70.78591
126,Thor: The Dark World,2013,"Action,Adventure,Fantasy",http://marvel.com/thor,99.499595
127,Mad Max: Fury Road,2015,"Action,Adventure,Sci-Fi,Thriller",http://www.madmaxmovie.com/,434.278564
128,Angels & Demons,2009,"Thriller,Mystery",http://www.angelsanddemons.com/,67.447636
129,Thor,2011,"Adventure,Fantasy,Action",http://thor.marvel.com/,86.493424
130,Bolt,2008,"Animation,Family,Adventure,Comedy",http://movies.disney.com/bolt,41.845878
131,G-Force,2009,"Fantasy,Action,Adventure,Family,Comedy",http://disney.go.com/disneypictures/gforce/,26.710398
132,Wrath of the Titans,2012,Adventure,http://www.wrathofthetitansmovie.org,44.927635
133,Dark Shadows,2012,"Comedy,Fantasy",http://darkshadowsmovie.warnerbros.com,50.306728
134,Mission: Impossible - Rogue Nation,2015,"Action,Adventure,Thriller",http://www.missionimpossible.com,114.522237
135,The Wolfman,2010,"Drama,Horror,Thriller",http://www.thewolfmanmovie.com/,21.214571
136,Bee Movie,2007,"Family,Animation,Adventure,Comedy",http://www.beemovie.com/,29.332905
137,Kung Fu Panda 2,2011,"Animation,Family",http://www.kungfupanda.com/,51.247321
138,The Last Airbender,2010,"Action,Adventure,Family,Fantasy",http://www.thelastairbendermovie.com/,33.769336
139,Mission: Impossible III,2006,"Adventure,Action,Thriller",http://www.missionimpossible.com/,63.079003
140,White House Down,2013,"Action,Drama,Thriller",,39.004588
141,Mars Needs Moms,2011,"Adventure,Animation,Family",http://disney.go.com/disneypictures/marsneedsmoms/#home,12.362599
142,Flushed Away,2006,"Adventure,Animation,Comedy,Family",http://www.dreamworksanimation.com/flushed/,22.550135
143,Pan,2015,"Adventure,Family,Fantasy",,48.03528
144,Mr. Peabody & Sherman,2014,"Animation,Adventure,Family",,38.73494
145,Troy,2004,"Adventure,Drama,War",,66.803149
146,Madagascar 3: Europe's Most Wanted,2012,"Animation,Family",,44.989192
147,Die Another Day,2002,"Adventure,Action,Thriller",http://www.mgm.com/view/movie/232/Die-Another-Day/,54.159392
148,Ghostbusters,2016,"Action,Fantasy,Comedy",http://www.ghostbusters.com/,66.21806
149,Armageddon,1998,"Action,Thriller,Sci-Fi,Adventure",,58.485967
150,Men in Black II,2002,"Action,Adventure,Comedy,Sci-Fi",http://www.sonypictures.com/homevideo/meninblackii/,91.332849
151,Beowulf,2007,"Adventure,Action,Animation",http://www.beowulfmovie.com/,35.601665
152,Kung Fu Panda 3,2016,"Action,Adventure,Animation,Comedy,Family",http://www.kungfupanda.com/,56.747978
153,Mission: Impossible - Ghost Protocol,2011,"Action,Thriller,Adventure",http://www.missionimpossible.com/,77.77477
154,Rise of the Guardians,2012,"Fantasy,Animation,Family",http://www.riseoftheguardians.com/,61.788035
155,Fun with Dick and Jane,2005,Comedy,http://www.sonypictures.com/movies/funwithdickandjane/,25.159168
156,The Last Samurai,2003,"Drama,Action,War,History",,52.341226
157,Exodus: Gods and Kings,2014,"Adventure,Drama,Action",http://www.exodusgodsandkings.com/,101.599427
158,Star Trek,2009,"Sci-Fi,Action,Adventure",,73.616808
159,Spider-Man,2002,"Fantasy,Action",http://www.sonypictures.com/movies/spider-man/,82.502566
160,How to Train Your Dragon 2,2014,"Fantasy,Action,Adventure,Animation,Comedy,Family",http://www.howtotrainyourdragon.com/,100.21391
161,Gods of Egypt,2016,Fantasy,,56.257249
162,Stealth,2005,Action,,17.88953
163,Watchmen,2009,"Action,Mystery,Sci-Fi",https://www.warnerbros.com/watchmen,64.798873
164,Lethal Weapon 4,1998,"Action,Adventure,Comedy,Crime,Thriller",,24.855701
165,Hulk,2003,"Drama,Action,Sci-Fi",,34.981698
166,G.I. Joe: Retaliation,2013,"Adventure,Action,Sci-Fi,Thriller",http://www.gijoemovie.com,59.325589
167,Sahara,2005,"Action,Adventure,Comedy,Drama,Mystery",,21.605568
168,Final Fantasy: The Spirits Within,2001,"Adventure,Action,Animation,Fantasy,Sci-Fi,Thriller",,26.074908
169,Captain America: The First Avenger,2011,"Action,Adventure,Sci-Fi",http://captainamerica.marvel.com/,74.506246
170,The World Is Not Enough,1999,"Adventure,Action,Thriller",http://www.mgm.com/view/movie/231/The-World-Is-Not-Enough/,39.604363
171,Master and Commander: The Far Side of the World,2003,Adventure,http://www.masterandcommanderthefarsideoftheworld.com/,36.973031
172,The Twilight Saga: Breaking Dawn - Part 2,2012,"Adventure,Fantasy,Drama,Romance",,99.687084
173,Happy Feet Two,2011,"Animation,Comedy,Family",http://happyfeettwo.warnerbros.com/index.html,17.7735
174,The Incredible Hulk,2008,"Sci-Fi,Action,Adventure",,62.898336
175,The BFG,2016,"Adventure,Family,Fantasy",http://movies.disney.com/the-bfg,44.19092
176,The Revenant,2015,"Western,Drama,Adventure,Thriller",http://www.foxmovies.com/movies/the-revenant,100.635882
177,Turbo,2013,"Animation,Family",http://www.turbomovie.com/,44.765377
178,Rango,2011,"Animation,Comedy,Family,Western,Adventure",http://www.rangomovie.com/,29.91353
179,Penguins of Madagascar,2014,"Family,Animation,Adventure,Comedy",,84.366984
180,The Bourne Ultimatum,2007,"Action,Drama,Mystery,Thriller",http://www.universalstudiosentertainment.com/the-bourne-ultimatum/,45.381501
181,Kung Fu Panda,2008,"Adventure,Animation,Family,Comedy",http://www.kungfupanda.com/,84.689648
182,Ant-Man,2015,"Sci-Fi,Action,Adventure",http://marvel.com/movies/movie/180/ant-man,120.09361
183,The Hunger Games: Catching Fire,2013,"Adventure,Action,Sci-Fi",http://www.thehungergames.movie/,76.310119
184,Home,2015,"Fantasy,Comedy,Animation,Sci-Fi,Family",http://www.meettheboov.com/,63.473086
185,War of the Worlds,2005,"Adventure,Thriller,Sci-Fi",,48.572726
186,Bad Boys II,2003,"Adventure,Action,Comedy,Thriller,Crime",,38.068736
187,Puss in Boots,2011,"Action,Adventure,Animation,Family,Fantasy",,20.678787
188,Salt,2010,"Action,Mystery,Thriller",http://www.sonypictures.com/homevideo/salt/,48.829437
189,Noah,2014,"Drama,Adventure",http://www.noahmovie.com,46.115758
190,The Adventures of Tintin,2011,"Adventure,Animation,Mystery",http://www.us.movie.tintin.com/,89.938296
191,Harry Potter and the Prisoner of Azkaban,2004,"Adventure,Fantasy,Family",,79.679601
192,Australia,2008,Drama,,28.840997
193,After Earth,2013,"Sci-Fi,Action,Adventure",,42.840582
194,Dinosaur,2000,"Animation,Family",,26.548594
195,Night at the Museum: Secret of the Tomb,2014,"Adventure,Comedy,Fantasy,Family",,115.597753
196,Megamind,2010,"Animation,Action,Comedy,Family,Sci-Fi",http://www.megamind.com,68.757242
197,Harry Potter and the Philosopher's Stone,2001,"Adventure,Fantasy,Family",http://harrypotter.warnerbros.com/harrypotterandthedeathlyhallows/mainsite/index.html,109.984351
198,R.I.P.D.,2013,"Fantasy,Action,Comedy,Crime",http://www.ripd.com/,39.448066
199,Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Adventure,Fantasy,Action",http://disney.go.com/disneyvideos/liveaction/pirates/main_site/main.html,271.972889
200,The Hunger Games: Mockingjay - Part 1,2014,"Sci-Fi,Adventure,Thriller",http://www.thehungergames.movie/,206.227151
201,The Da Vinci Code,2006,"Thriller,Mystery",http://www.sonypictures.com/homevideo/thedavincicode/index.html,45.313197
202,Rio 2,2014,"Animation,Adventure,Comedy,Family",http://www.riomovies.com/,42.40024
203,X2,2003,"Adventure,Action,Sci-Fi,Thriller",,2.871739
204,Fast Five,2011,"Action,Thriller,Crime",http://www.watchvideoseries.com/movies/fast-five-2011-2/,7.255718
205,Sherlock Holmes: A Game of Shadows,2011,"Adventure,Action,Crime,Mystery",http://sherlockholmes2.warnerbros.com/index.html,81.499621
206,Clash of the Titans,2010,"Adventure,Fantasy,Action",http://www.clash-of-the-titans.com/,47.686442
207,Total Recall,1990,"Action,Adventure,Sci-Fi",,43.129703
208,The 13th Warrior,1999,"Adventure,Fantasy,Action",,27.220157
209,The Bourne Legacy,2012,"Action,Thriller",http://www.thebournelegacy.com/,90.33681
210,Batman & Robin,1997,"Action,Crime,Fantasy",,50.073575
211,How the Grinch Stole Christmas,2000,"Family,Comedy,Fantasy",http://www.grinched.com/,45.419668
212,The Day After Tomorrow,2004,"Action,Adventure,Sci-Fi,Thriller",http://www.thedayaftertomorrow.com/,41.380094
213,Mission: Impossible II,2000,"Adventure,Action,Thriller",http://www.missionimpossible.com/,54.931334
214,The Perfect Storm,2000,Drama,,25.752118
215,Fantastic 4: Rise of the Silver Surfer,2007,"Adventure,Fantasy,Action,Thriller",,60.810723
216,Life of Pi,2012,"Adventure,Drama,Action",http://www.lifeofpimovie.com/,51.328145
217,Ghost Rider,2007,"Thriller,Action,Fantasy,Horror",http://www.sonypictures.com/movies/ghostrider/,46.834704
218,Jason Bourne,2016,"Action,Thriller",http://www.jasonbournemovie.com,62.641286
219,Charlie's Angels: Full Throttle,2003,"Action,Adventure,Comedy",,33.616115
220,Prometheus,2012,"Sci-Fi,Adventure,Mystery",http://www.projectprometheus.com/,68.889395
221,Stuart Little 2,2002,"Family,Adventure,Animation,Comedy",,27.990284
222,Elysium,2013,"Sci-Fi,Action,Drama,Thriller",,67.33767
223,The Chronicles of Riddick,2004,"Action,Sci-Fi",,27.835436
224,RoboCop,2014,"Action,Sci-Fi",http://www.robocop.com,66.757869
225,Speed Racer,2008,"Action,Family,Sci-Fi",http://www.speedracerthemovie.warnerbros.com/,17.060695
226,How Do You Know,2010,"Comedy,Drama,Romance",http://www.howdoyouknow-movie.com/,11.137655
227,Knight and Day,2010,"Action,Comedy",http://www.knightanddaymovie.com,44.906918
228,Oblivion,2013,"Action,Sci-Fi,Adventure,Mystery",https://www.uphe.com/movies/oblivion,67.698004
229,Star Wars: Episode III - Revenge of the Sith,2005,"Sci-Fi,Adventure,Action",http://www.starwars.com/films/star-wars-episode-iii-revenge-of-the-sith,44.108427
230,Star Wars: Episode II - Attack of the Clones,2002,"Adventure,Action,Sci-Fi",http://www.starwars.com/films/star-wars-episode-ii-attack-of-the-clones,43.987061
231,"Monsters, Inc.",2001,"Animation,Comedy,Family",http://movies.disney.com/monsters-inc,106.815545
232,The Wolverine,2013,"Action,Sci-Fi,Adventure,Fantasy",http://www.thewolverinemovie.com,15.953444
233,Star Wars: Episode I - The Phantom Menace,1999,"Adventure,Action,Sci-Fi",http://www.starwars.com/films/star-wars-episode-i-the-phantom-menace,54.035265
234,The Croods,2013,"Adventure,Animation,Comedy,Family,Fantasy",http://www.thecroodsmovie.com/,64.183321
235,Asterix at the Olympic Games,2008,"Fantasy,Adventure,Comedy,Family",http://www.asterixauxjeuxolympiques.com/index.php,20.344364
236,Windtalkers,2002,"Drama,Action,History,War",,18.714197
237,The Huntsman: Winter's War,2016,"Action,Adventure,Drama",http://www.thehuntsmanmovie.com/,60.467984
238,Teenage Mutant Ninja Turtles,2014,"Sci-Fi,Action,Adventure,Fantasy,Comedy",http://www.teenagemutantninjaturtlesmovie.com,143.350376
239,Gravity,2013,"Sci-Fi,Thriller,Drama",http://gravitymovie.warnerbros.com/,110.153618
240,Dante's Peak,1997,"Action,Adventure,Thriller",,16.90444
241,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,"Fantasy,Action,Adventure,Comedy",http://www.teenagemutantninjaturtlesmovie.com/,39.873791
242,Fantastic Four,2015,"Action,Adventure,Sci-Fi",http://www.fantasticfourmovie.com/,38.126095
243,Night at the Museum,2006,"Action,Adventure,Comedy,Family,Fantasy",,48.780039
244,San Andreas,2015,"Action,Drama,Thriller",http://www.sanandreasmovie.com/,100.412364
245,Tomorrow Never Dies,1997,"Adventure,Action,Thriller",http://www.mgm.com/view/movie/2029/Tomorrow-Never-Dies/,42.887121
246,The Patriot,2000,"Drama,History,War,Action",,23.657284
247,Ocean's Twelve,2004,"Thriller,Crime",http://oceans12.warnerbros.com/,76.840712
248,Mr. & Mrs. Smith,2005,"Action,Comedy,Drama,Thriller",,44.635452
249,Insurgent,2015,"Adventure,Sci-Fi,Thriller",http://www.thedivergentseries.movie/#insurgent,103.718387
250,The Aviator,2004,Drama,,45.616098
251,Gulliver's Travels,2010,Comedy,,22.845143
252,The Green Hornet,2011,"Action,Crime,Comedy",http://www.sonypictures.com/movies/thegreenhornet/,31.703608
253,300: Rise of an Empire,2014,"Action,War",http://www.300themovie.com/,71.510596
254,The Smurfs,2011,"Animation,Family,Adventure,Comedy,Fantasy",http://www.smurfhappens.com/,36.65422
255,Home on the Range,2004,"Animation,Family",http://movies.disney.com/home-on-the-range,19.625972
256,Allegiant,2016,"Adventure,Sci-Fi",http://www.thedivergentseries.movie/#allegiant,86.105615
257,Real Steel,2011,"Action,Sci-Fi,Drama",http://www.steelgetsreal.com/,37.195046
258,The Smurfs 2,2013,"Fantasy,Family,Comedy,Animation",http://smurfhappens.com,32.473628
259,Speed 2: Cruise Control,1997,"Action,Adventure,Thriller",,23.336875
260,Ender's Game,2013,"Sci-Fi,Action,Adventure",http://www.if-sentinel.com/,45.94834
261,Live Free or Die Hard,2007,"Action,Thriller",,48.93337
262,The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure,Fantasy,Action",http://www.lordoftherings.net/,138.049577
263,Around the World in 80 Days,2004,"Action,Adventure,Comedy",,22.643776
264,Ali,2001,Drama,,18.866672
265,The Cat in the Hat,2003,"Comedy,Fantasy,Family",,18.251129
266,"I, Robot",2004,"Action,Sci-Fi",,95.914473
267,Kingdom of Heaven,2005,"Drama,Action,Adventure,History,War",http://www.kingdomofheavendvd.com/,44.490453
268,Stuart Little,1999,"Animation,Fantasy,Family,Comedy",,30.475297
269,The Princess and the Frog,2009,"Romance,Family,Animation,Music",http://disney.go.com/disneypictures/princessandthefrog/,62.479574
270,The Martian,2015,"Drama,Adventure,Sci-Fi",http://www.foxmovies.com/movies/the-martian,167.93287
271,The Island,2005,"Action,Thriller,Sci-Fi,Adventure",http://www.theisland-themovie.com/,37.68056
272,Town & Country,2001,"Comedy,Romance",,1.004579
273,Gone in Sixty Seconds,2000,"Action,Crime,Thriller",,52.995628
274,Gladiator,2000,"Action,Drama,Adventure",,95.301296
275,Minority Report,2002,"Action,Thriller,Sci-Fi,Mystery",,65.948959
276,Harry Potter and the Chamber of Secrets,2002,"Adventure,Fantasy,Family",,132.397737
277,Casino Royale,2006,"Adventure,Action,Thriller",http://www.mgm.com/#/our-titles/233/Casino-Royale-(2006),88.935165
278,Planet of the Apes,2001,"Thriller,Sci-Fi,Action,Adventure",,51.188633
279,Terminator 2: Judgment Day,1991,"Action,Thriller,Sci-Fi",,101.74155
280,Public Enemies,2009,"History,Crime,Drama",http://www.publicenemies.net/,33.691694
